"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
635928974,54,"female",FALSE,"Insects-Chinese IAT","rmts first",0.613,0.363,43.8,"fail",3.83,714,99.17,FALSE,584,99.33,FALSE
639261157,25,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.631,-0.12,56.2,"fail",2.33,598,95.83,FALSE,516,97.33,FALSE
640216132,27,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.396,-0.036,18.8,"fail",5.33,554,87.5,FALSE,578,89.33,FALSE
641195027,53,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.809,-0.265,50,"fail",5,831,99.17,FALSE,773,98.67,FALSE
641536845,57,"female",FALSE,"Insects-Chinese IAT","rmts first",0.432,-0.436,56.2,"fail",4.67,873,97.5,FALSE,782,98.67,FALSE
643586926,34,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.466,0.044,50,"fail",4,747,94.17,FALSE,601,96.67,FALSE
643737462,35,"male",FALSE,"Insects-Chinese IAT","rmts first",0.701,-0.513,43.8,"fail",2.33,1014,95,FALSE,806,95.33,FALSE
647976986,18,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.128,-0.329,87.5,"pass",3,693,97.5,FALSE,582,93.33,FALSE
647995710,19,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.143,-0.314,50,"fail",4,663,96.67,FALSE,586,96.67,FALSE
651600877,28,"male",FALSE,"Insects-Chinese IAT","rmts first",0.119,-0.116,50,"fail",4,727,94.17,FALSE,566,93.33,FALSE
658267614,18,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.379,0.055,75,"fail",5,572,88.33,FALSE,581,80.67,FALSE
661359128,54,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.021,0.105,56.2,"fail",4,1072,95.83,FALSE,836,100,FALSE
664616672,30,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.58,-0.298,50,"fail",4.17,665,95,FALSE,558,98,FALSE
667910505,20,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.417,0.014,62.5,"fail",3.83,619,93.33,FALSE,521,94.67,FALSE
669753946,22,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.359,-0.187,37.5,"fail",4,645,84.17,FALSE,749,83.33,FALSE
672926275,46,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.846,0.425,50,"fail",4.17,643,90.83,FALSE,500,95.33,FALSE
673159225,20,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.381,-0.091,50,"fail",4.5,511,81.67,FALSE,446,86.67,FALSE
677591777,45,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.067,0.131,50,"fail",4,629,99.17,FALSE,527,95.33,FALSE
682614976,31,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.278,-0.072,25,"fail",4,883,83.33,FALSE,1141,91.95,FALSE
683947715,41,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.597,-0.175,43.8,"fail",4,753,97.5,FALSE,621,100,FALSE
684851376,53,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.232,0.33,50,"fail",4,704,98.33,FALSE,648,99.33,FALSE
689704003,26,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.641,0.049,68.8,"fail",3.33,920,92.5,FALSE,648,94.67,FALSE
691104660,54,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.617,-0.047,93.8,"pass",4,672,98.33,FALSE,612,99.33,FALSE
692061908,35,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.643,0.097,18.8,"fail",4.83,728,95.83,FALSE,625,96.67,FALSE
696528380,25,"male",TRUE,"Flowers-Chinese IAT","evaluation tasks first",-0.321,-1.178,56.2,"fail",6,483,73.33,TRUE,409,71.33,TRUE
696533806,34,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.403,-0.156,43.8,"fail",5.17,668,84.17,FALSE,523,82.67,FALSE
697604995,24,"female ",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.18,0.023,31.2,"fail",4.67,610,79.17,FALSE,686,86.67,FALSE
701531034,49,"female",FALSE,"Flowers-Chinese IAT","rmts first",0.05,0.017,56.2,"fail",4.83,749,100,FALSE,664,100,FALSE
704954946,57,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.28,-0.225,68.8,"fail",4.33,793,94.17,FALSE,680,97.33,FALSE
705011027,58,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.402,-0.036,37.5,"fail",4.5,715,95,FALSE,585,99.33,FALSE
705822824,28,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.443,-0.065,43.8,"fail",3.17,812,86.67,FALSE,608,82.67,FALSE
711230222,41,"female",FALSE,"Insects-Chinese IAT","rmts first",0.644,0.074,93.8,"pass",4.5,760,99.17,FALSE,620,98,FALSE
711291211,26,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.798,-0.092,37.5,"fail",4.17,863,81.67,FALSE,808,89.33,FALSE
712192411,24,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.568,0.328,81.2,"fail",5.17,620,90.83,FALSE,520,91.33,FALSE
714016607,20,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.048,0.612,68.8,"fail",4.33,751,90,FALSE,676,86.67,FALSE
715227398,26,"female",FALSE,"Insects-Chinese IAT","rmts first",0.119,0.046,56.2,"fail",5.33,578,91.67,FALSE,520,93.33,FALSE
721351104,34,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.191,0.048,56.2,"fail",4.67,615,96.67,FALSE,523,96,FALSE
721828208,33,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0,0.333,37.5,"fail",5,695,99.17,FALSE,641,98.67,FALSE
723727534,35,"female",FALSE,"Insects-Chinese IAT","rmts first",0.493,-0.476,50,"fail",5,628,95.83,FALSE,593,97.33,FALSE
725110134,50,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.294,-0.054,75,"fail",3.5,579,92.5,FALSE,484,90,FALSE
726054730,30,"female ",FALSE,"Flowers-Chinese IAT","rmts first",-0.838,-0.086,43.8,"fail",3.83,657,90,FALSE,538,94,FALSE
727211900,34,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.521,-0.006,62.5,"fail",4,559,94.17,FALSE,527,90,FALSE
728533097,56,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.014,-0.219,56.2,"fail",2.83,958,97.5,FALSE,744,98,FALSE
730529271,23,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.51,0.153,50,"fail",3.83,698,85,FALSE,572,87.33,FALSE
731323152,32,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.508,-0.104,43.8,"fail",4,735,97.5,FALSE,586,92,FALSE
734862087,48,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.339,0.337,50,"fail",3.67,834,97.5,FALSE,665,100,FALSE
735056747,33,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.994,0.009,56.2,"fail",4.17,697,93.33,FALSE,612,97.33,FALSE
744054012,21,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.524,0.116,56.2,"fail",4,689,94.17,FALSE,613,96,FALSE
753273572,55,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.022,-0.239,18.8,"fail",2,835,97.5,FALSE,666,96.67,FALSE
755042910,18,"male",FALSE,"Insects-Chinese IAT","rmts first",0.543,-0.048,43.8,"fail",4,1496,97.48,FALSE,854,94.63,FALSE
766813261,37,"male",FALSE,"Insects-Chinese IAT","rmts first",0.523,-0.127,56.2,"fail",4,941,88.33,FALSE,682,89.33,FALSE
769080369,31,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.12,-0.161,31.2,"fail",5.33,931,100,FALSE,780,97.33,FALSE
770055398,55,"male",FALSE,"Insects-Chinese IAT","rmts first",0.188,-0.235,62.5,"fail",4,969,87.5,FALSE,749,90.67,FALSE
770982324,55,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.049,0.002,50,"fail",5.17,757,100,FALSE,678,100,FALSE
775412844,61,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.784,0.012,68.8,"fail",3.83,638,92.5,FALSE,606,90,FALSE
775697061,36,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.461,-0.158,62.5,"fail",4,1303,92.5,FALSE,911,98,FALSE
776510904,34,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.375,-0.246,62.5,"fail",4,663,96.67,FALSE,563,92,FALSE
778213246,59,"male",FALSE,"Insects-Chinese IAT","rmts first",0.709,-0.001,31.2,"fail",4,708,92.5,FALSE,578,99.33,FALSE
791044348,21,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.861,0.104,50,"fail",4.17,707,98.33,FALSE,566,96.67,FALSE
791693979,57,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.676,-0.093,6.2,"fail",4.5,632,97.5,FALSE,537,96.67,FALSE
792537247,26,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.528,0.088,43.8,"fail",4,617,85,FALSE,499,95.33,FALSE
796790838,23,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.263,-0.538,50,"fail",4,615,85,FALSE,544,79.33,FALSE
802914543,41,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.029,-0.208,50,"fail",4,719,91.67,FALSE,606,86,FALSE
803804784,61,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.866,0.054,18.8,"fail",3.33,745,96.67,FALSE,662,97.33,FALSE
805218689,25,"male",TRUE,"Flowers-Chinese IAT","rmts first",1.181,-0.201,56.2,"fail",4,422,62.5,TRUE,166,48.67,TRUE
810152956,36,"male",TRUE,"Flowers-Chinese IAT","evaluation tasks first",-0.167,0.908,31.2,"fail",6,878,90.83,FALSE,546,76,TRUE
814046299,24,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.381,-0.146,75,"fail",4,840,95.83,FALSE,712,96.67,FALSE
816327807,23,"male",TRUE,"Insects-Chinese IAT","evaluation tasks first",-0.004,-0.122,43.8,"fail",4.33,618,71.67,FALSE,506,68,TRUE
819771406,30,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.467,-0.309,81.2,"fail",4,582,87.5,FALSE,532,91.33,FALSE
821226337,56,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.051,-0.307,6.2,"fail",4,850,96.67,FALSE,831,92.67,FALSE
824353542,41,"male",FALSE,"Insects-Chinese IAT","rmts first",0.383,0.363,50,"fail",3.67,777,98.33,FALSE,673,98.67,FALSE
824485211,31,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.533,0.489,37.5,"fail",4.5,672,90.83,FALSE,581,94.67,FALSE
830000830,23,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.358,-0.212,37.5,"fail",5,532,95.83,FALSE,496,90.67,FALSE
830086199,18,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.718,0.164,50,"fail",6,912,87.5,FALSE,612,92.67,FALSE
831270395,24,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.589,-0.093,56.2,"fail",4,813,100,FALSE,644,100,FALSE
835823933,23,"female",FALSE,"Insects-Chinese IAT","rmts first",0.544,0.189,75,"fail",6,1072,98.33,FALSE,742,92.67,FALSE
837274324,26,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.313,-0.138,43.8,"fail",4.17,821,80.83,FALSE,727,78.67,FALSE
837822628,53,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.319,0.006,0,"fail",6,952,91.67,FALSE,684,95.33,FALSE
839077610,40,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.073,0.616,56.2,"fail",4.5,926,86.67,FALSE,724,92.67,FALSE
840137840,36,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.422,0.315,100,"pass",5.67,1066,90.76,FALSE,806,98.64,FALSE
841163372,62,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.083,0.299,50,"fail",3.33,836,100,FALSE,736,98.67,FALSE
842996587,35,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.895,0.423,56.2,"fail",4.67,1161,95,FALSE,826,98,FALSE
844411439,56,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.311,0.006,50,"fail",6,843,83.33,FALSE,756,88,FALSE
850584226,33,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.218,-0.244,68.8,"fail",3.83,710,94.17,FALSE,658,93.33,FALSE
851132882,38,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.585,-0.423,87.5,"pass",2,622,97.5,FALSE,568,96,FALSE
855721928,23,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.468,-0.182,68.8,"fail",4,577,97.5,FALSE,517,96.67,FALSE
859777970,39,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.943,-0.101,50,"fail",3.17,654,84.17,FALSE,583,91.33,FALSE
860747495,26,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.098,0.376,75,"fail",4,478,80.83,FALSE,445,80,FALSE
864368605,22,"female",FALSE,"Insects-Chinese IAT","rmts first",0.627,0.164,37.5,"fail",4,693,88.33,FALSE,654,89.33,FALSE
867396607,32,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.784,0.252,37.5,"fail",6.5,881,97.5,FALSE,711,100,FALSE
868195884,22,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.012,0.081,43.8,"fail",4.33,712,90.83,FALSE,649,90.67,FALSE
871493385,31,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.538,0.374,50,"fail",4,890,86.67,FALSE,692,92,FALSE
871816184,38,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.106,-0.423,56.2,"fail",4.17,1366,96.67,FALSE,1348,95.3,FALSE
877270004,30,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.063,0.058,43.8,"fail",4,703,96.67,FALSE,593,94.67,FALSE
877509404,56,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.823,-0.264,62.5,"fail",3.5,724,97.5,FALSE,643,100,FALSE
881765166,33,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.263,-0.245,56.2,"fail",3.83,601,95,FALSE,554,96,FALSE
886404470,18,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.385,0.27,62.5,"fail",4,772,92.5,FALSE,551,94,FALSE
887228097,19,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.813,0.092,43.8,"fail",5.67,749,96.67,FALSE,589,96.67,FALSE
887407686,55,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.087,-0.222,43.8,"fail",4,993,94.17,FALSE,728,97.33,FALSE
891714010,27,"male",TRUE,"Flowers-Chinese IAT","rmts first",0.129,-0.984,50,"fail",5,1052,92.5,FALSE,364,64.67,TRUE
895405525,29,"male",TRUE,"Insects-Chinese IAT","rmts first",-0.297,0.699,56.2,"fail",4,448,55,TRUE,260,58,TRUE
904468731,59,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.697,0.036,43.8,"fail",6,1040,99.17,FALSE,821,100,FALSE
904483451,22,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.776,-0.168,43.8,"fail",4.17,610,92.5,FALSE,522,92.67,FALSE
910638292,53,"male",TRUE,"Flowers-Chinese IAT","evaluation tasks first",0.726,-0.356,68.8,"fail",4,787,75.42,TRUE,843,92.41,FALSE
912384140,28,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.235,-0.383,50,"fail",4,1043,100,FALSE,691,99.33,FALSE
916633997,38,"female",FALSE,"Insects-Chinese IAT","rmts first",0.97,0.276,37.5,"fail",4,739,95,FALSE,625,93.33,FALSE
917032107,37,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.454,0.052,0,"fail",5.17,662,100,FALSE,616,99.33,FALSE
918041619,36,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.621,-0.377,0,"fail",4,716,100,FALSE,681,98.67,FALSE
924170369,41,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.242,-0.172,62.5,"fail",4.33,2063,90.68,FALSE,1119,93.92,FALSE
925039195,39,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.679,-0.171,25,"fail",5.33,527,90.83,FALSE,492,94,FALSE
925534871,46,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.43,-0.287,56.2,"fail",6,663,94.17,FALSE,602,96.67,FALSE
925850409,36,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.325,-0.106,0,"fail",4,825,98.33,FALSE,627,97.33,FALSE
930327382,21,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.767,0.131,50,"fail",5.67,807,90,FALSE,645,92,FALSE
932514700,32,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.103,-0.501,25,"fail",4,738,92.5,FALSE,758,95.33,FALSE
934992350,39,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.163,0.332,50,"fail",4.17,572,85,FALSE,479,90.67,FALSE
935803641,57,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.817,-0.533,62.5,"fail",3.5,745,94.17,FALSE,709,96,FALSE
936709686,44,"male",FALSE,"Insects-Chinese IAT","rmts first",0.547,-0.498,37.5,"fail",4,746,94.17,FALSE,594,92.67,FALSE
939925246,48,"male",FALSE,"Insects-Chinese IAT","rmts first",0.483,0.349,56.2,"fail",4.83,595,98.33,FALSE,587,98,FALSE
948795071,25,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.502,0.002,62.5,"fail",5.33,736,93.33,FALSE,615,95.33,FALSE
955696180,59,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.062,-0.218,56.2,"fail",4.67,1102,95.83,FALSE,804,98.67,FALSE
955735831,36,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.108,0.279,50,"fail",4.33,626,95.83,FALSE,579,94.67,FALSE
956506538,18,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.501,-0.394,56.2,"fail",3.83,798,86.67,FALSE,648,84.67,FALSE
960962249,52,"male",TRUE,"Flowers-Chinese IAT","rmts first",-0.757,0.395,50,"fail",4,893,70.83,FALSE,598,56.67,FALSE
962655617,37,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.696,-0.079,75,"fail",5.67,1048,89.08,FALSE,780,97.33,FALSE
965231752,18,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-1.05,0.076,43.8,"fail",3,1043,94.17,FALSE,1037,96.67,FALSE
965528916,39,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.779,0.145,25,"fail",4.67,616,99.17,FALSE,563,96.67,FALSE
966841341,37,"male",FALSE,"Insects-Chinese IAT","rmts first",0.255,-0.109,56.2,"fail",4.83,683,98.33,FALSE,655,98.67,FALSE
968803153,27,"female",FALSE,"Flowers-Chinese IAT","rmts first",0.059,0.118,50,"fail",4,596,87.5,FALSE,490,85.33,FALSE
971838156,46,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.469,-0.35,37.5,"fail",2.83,799,95,FALSE,672,97.33,FALSE
972422245,30,"female",FALSE,"Insects-Chinese IAT","rmts first",0.41,0.282,37.5,"fail",4,780,93.33,FALSE,643,93.33,FALSE
975540768,28,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.687,0.061,56.2,"fail",2.67,549,90.83,FALSE,561,89.33,FALSE
976557668,50,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.152,-0.07,0,"fail",5.17,780,95,FALSE,664,99.33,FALSE
979890932,29,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.449,-0.353,25,"fail",4.67,983,97.5,FALSE,902,98,FALSE
986088085,57,"female",FALSE,"Insects-Chinese IAT","rmts first",0.203,-0.12,25,"fail",3.5,1068,98.33,FALSE,1111,98,FALSE
990923689,35,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.617,-0.173,6.2,"fail",3,682,94.17,FALSE,627,94.67,FALSE
995653998,24,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.955,-0.617,50,"fail",4,774,92.5,FALSE,613,96,FALSE
996106051,20,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.355,0.226,31.2,"fail",4.33,614,73.33,FALSE,537,76,FALSE
