"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
375844458,30,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.965,0.31,93.8,"pass",3,815,95.83,FALSE,789,98.67,FALSE
379985411,32,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.616,-0.42,18.8,"fail",5.5,711,95.83,FALSE,641,96.67,FALSE
380309630,59,"female",FALSE,"Insects-Chinese IAT","rmts first",0.179,0.11,50,"fail",4.83,961,98.33,FALSE,790,96.67,FALSE
382197689,47,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.508,0.177,56.2,"fail",4,773,97.5,FALSE,774,99.33,FALSE
382308651,27,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.96,-0.249,75,"fail",4.17,692,99.17,FALSE,613,97.33,FALSE
384021627,39,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.969,-0.153,50,"fail",5,737,90,FALSE,564,98.67,FALSE
388918415,35,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.414,0.178,75,"fail",4.83,746,97.5,FALSE,634,96.67,FALSE
389506996,32,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.612,-0.266,43.8,"fail",7,1086,97.5,FALSE,970,94.67,FALSE
393953674,27,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.437,0.019,50,"fail",4.67,786,88.33,FALSE,635,93.33,FALSE
395566549,28,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.159,-0.187,37.5,"fail",4.67,789,97.5,FALSE,684,96,FALSE
396106905,45,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.313,0.439,50,"fail",3.83,706,95,FALSE,646,98.67,FALSE
401854638,40,"female",FALSE,"Insects-Chinese IAT","rmts first",0.225,0.228,56.2,"fail",4,635,98.33,FALSE,555,98.67,FALSE
404453421,58,"male",FALSE,"Insects-Chinese IAT","rmts first",0.318,-0.016,56.2,"fail",4.17,775,98.33,FALSE,624,100,FALSE
404567924,56,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.54,-0.055,50,"fail",5.17,768,99.17,FALSE,688,98.67,FALSE
