participant,trial_n,recip_rt_sciat_block_2,accuracy,rt,age,gender,exclude,IAT_condition,attribute_condition,recip_rt_sciat_block_1
4303807,20,1.3245033112582782,1,1003,45,male,FALSE,Insects,nonword attributes,0.9970089730807578
4303807,21,1.1235955056179776,1,808,45,male,FALSE,Insects,nonword attributes,1.2376237623762376
4303807,22,1.3531799729364005,1,877,45,male,FALSE,Insects,nonword attributes,1.1402508551881414
4303807,23,1.1325028312570782,1,670,45,male,FALSE,Insects,nonword attributes,1.492537313432836
4303807,24,1.7241379310344827,1,895,45,male,FALSE,Insects,nonword attributes,1.1173184357541899
4303807,25,1.3123359580052494,1,921,45,male,FALSE,Insects,nonword attributes,1.0857763300760044
4303807,26,1.2738853503184713,1,761,45,male,FALSE,Insects,nonword attributes,1.314060446780552
4303807,27,0.9487666034155597,1,823,45,male,FALSE,Insects,nonword attributes,1.2150668286755772
4303807,28,1.3736263736263736,1,707,45,male,FALSE,Insects,nonword attributes,1.4144271570014144
4303807,29,1.25,1,676,45,male,FALSE,Insects,nonword attributes,1.4792899408284024
4303807,30,1.218026796589525,1,558,45,male,FALSE,Insects,nonword attributes,1.7921146953405018
4303807,31,1.3568521031207599,1,892,45,male,FALSE,Insects,nonword attributes,1.1210762331838564
4303807,32,1.288659793814433,1,742,45,male,FALSE,Insects,nonword attributes,1.3477088948787062
4303807,33,1.3774104683195592,1,925,45,male,FALSE,Insects,nonword attributes,1.0810810810810811
4303807,34,1.567398119122257,1,645,45,male,FALSE,Insects,nonword attributes,1.550387596899225
4303807,35,1.4684287812041117,1,616,45,male,FALSE,Insects,nonword attributes,1.6233766233766234
4303807,36,1.3386880856760375,1,876,45,male,FALSE,Insects,nonword attributes,1.1415525114155252
4303807,37,1.0131712259371835,1,838,45,male,FALSE,Insects,nonword attributes,1.1933174224343674
4303807,38,1.4880952380952381,1,650,45,male,FALSE,Insects,nonword attributes,1.5384615384615385
4303807,39,1.6835016835016836,1,765,45,male,FALSE,Insects,nonword attributes,1.3071895424836601
4303807,40,1.422475106685633,1,683,45,male,FALSE,Insects,nonword attributes,1.4641288433382138
4303807,41,0.9319664492078286,1,636,45,male,FALSE,Insects,nonword attributes,1.5723270440251573
4303807,42,1.2738853503184713,1,528,45,male,FALSE,Insects,nonword attributes,1.893939393939394
4303807,43,1.0427528675703859,1,416,45,male,FALSE,Insects,nonword attributes,2.4038461538461537
4303807,44,1.2422360248447204,1,652,45,male,FALSE,Insects,nonword attributes,1.5337423312883436
4303807,45,1.4164305949008498,1,711,45,male,FALSE,Insects,nonword attributes,1.4064697609001406
4303807,46,1.4641288433382138,1,849,45,male,FALSE,Insects,nonword attributes,1.1778563015312131
4303807,47,1.8248175182481752,1,723,45,male,FALSE,Insects,nonword attributes,1.3831258644536653
4303807,48,1.1614401858304297,1,835,45,male,FALSE,Insects,nonword attributes,1.1976047904191616
4303807,49,1.303780964797914,1,758,45,male,FALSE,Insects,nonword attributes,1.3192612137203166
4303807,50,0.7283321194464676,1,566,45,male,FALSE,Insects,nonword attributes,1.7667844522968197
4303807,51,1.8867924528301887,1,1084,45,male,FALSE,Insects,nonword attributes,0.922509225092251
4303807,52,1.5384615384615385,1,613,45,male,FALSE,Insects,nonword attributes,1.6313213703099512
4303807,53,1.3793103448275863,1,786,45,male,FALSE,Insects,nonword attributes,1.272264631043257
4303807,54,1.6313213703099512,1,623,45,male,FALSE,Insects,nonword attributes,1.6051364365971108
4303807,55,0.4916420845624385,1,651,45,male,FALSE,Insects,nonword attributes,1.5360983102918586
4303807,56,1.0649627263045793,1,662,45,male,FALSE,Insects,nonword attributes,1.5105740181268883
4303807,57,0.49358341559723595,1,624,45,male,FALSE,Insects,nonword attributes,1.6025641025641026
4303807,58,0.9727626459143969,1,533,45,male,FALSE,Insects,nonword attributes,1.876172607879925
4303807,59,1.25,1,765,45,male,FALSE,Insects,nonword attributes,1.3071895424836601
4303807,60,0.8764241893076249,1,964,45,male,FALSE,Insects,nonword attributes,1.037344398340249
4303807,61,1.3106159895150722,1,786,45,male,FALSE,Insects,nonword attributes,1.272264631043257
4303807,62,1.0141987829614605,1,791,45,male,FALSE,Insects,nonword attributes,1.2642225031605563
4303807,63,1.25,1,645,45,male,FALSE,Insects,nonword attributes,1.550387596899225
4303807,64,1.4792899408284024,1,584,45,male,FALSE,Insects,nonword attributes,1.7123287671232876
4303807,65,1.3054830287206267,1,613,45,male,FALSE,Insects,nonword attributes,1.6313213703099512
4303807,66,1.17096018735363,1,539,45,male,FALSE,Insects,nonword attributes,1.8552875695732838
