"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow","stimulusnumber1","stimulusitem1","stimulusvpos1","stimulushpos1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusvpos2","stimulushpos2","stimulusonset2","stimulusnumber3","stimulusitem3","stimulusvpos3","stimulushpos3","stimulusonset3","stimulusnumber4","stimulusitem4","stimulusvpos4","stimulushpos4","stimulusonset4","stimulusnumber5","stimulusitem5","stimulusvpos5","stimulushpos5","stimulusonset5","stimulusnumber6","stimulusitem6","stimulusvpos6","stimulushpos6","stimulusonset6","stimulusnumber7","stimulusitem7","stimulusvpos7","stimulushpos7","stimulusonset7","stimulusnumber8","stimulusitem8","stimulusvpos8","stimulushpos8","stimulusonset8","stimulusnumber9","stimulusitem9","stimulusvpos9","stimulushpos9","stimulusonset9"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","11","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","23","0","722","0","1","middle_rectangle","50pct","50pct","3","3","pic3.jpg","50","40","3","5","insect5.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","4","full         empty","15","15","3","4","full         full","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","12","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","1514","0","1","middle_rectangle","50pct","50pct","4","4","pic4.jpg","50","40","4","5","flower5.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","6","slow         fast","15","15","4","6","slow         slow","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","13","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","23","0","785","0","1","middle_rectangle","50pct","50pct","4","2","pic2.jpg","50","40","4","3","insect3.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","4","full         empty","15","15","4","4","full         full","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","14","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","452","0","1","middle_rectangle","50pct","50pct","4","5","pic5.jpg","50","40","4","4","flower4.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","3","empty        full","15","15","4","3","empty        empty","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","15","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","23","0","696","0","1","middle_rectangle","50pct","50pct","3","3","pic3.jpg","50","40","3","6","insect6.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","2","bottom       top","15","15","3","2","bottom       bottom","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","16","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","590","0","1","middle_rectangle","50pct","50pct","3","4","pic4.jpg","50","40","3","1","flower1.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","5","fast         slow","15","15","3","5","fast         fast","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","1","RMTS_test_1","A_positive_antonyms_left","750","0","0","0","0","0","23","0","9439","0","1","middle_rectangle","50pct","50pct","2","1","pic1.jpg","50","40","2","2","flower2.jpg","50","58","2","1","left_rectangle","15pct","15pct","2","1","right_rectangle","15pct","85pct","2","1","top          bottom","15","15","2","1","top          top","15","85","2","1","Press E","4","15","2","1","Press I","4","85","2"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","2","RMTS_test_1","A_negative_synonyms_right","750","0","0","0","0","0","23","1","10520","0","1","middle_rectangle","50pct","50pct","2","2","pic2.jpg","50","40","2","2","insect2.jpg","50","58","2","1","left_rectangle","15pct","15pct","2","1","right_rectangle","15pct","85pct","2","3","empty        full","15","15","2","3","empty        empty","15","85","2","1","Press E","4","15","2","1","Press I","4","85","2"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","3","RMTS_test_1","A_positive_antonyms_left","750","0","0","0","0","0","23","0","2984","0","1","middle_rectangle","50pct","50pct","1","4","pic4.jpg","50","40","1","3","flower3.jpg","50","58","1","1","left_rectangle","15pct","15pct","1","1","right_rectangle","15pct","85pct","1","5","fast         slow","15","15","1","5","fast         fast","15","85","1","1","Press E","4","15","1","1","Press I","4","85","1"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","4","RMTS_test_1","A_negative_synonyms_right","750","0","0","0","0","0","23","1","4178","0","1","middle_rectangle","50pct","50pct","1","6","pic5.jpg","50","40","1","1","insect1.jpg","50","58","1","1","left_rectangle","15pct","15pct","1","1","right_rectangle","15pct","85pct","1","2","bottom       top","15","15","1","2","bottom       bottom","15","85","1","1","Press E","4","15","1","1","Press I","4","85","1"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","5","RMTS_test_1","A_positive_antonyms_left","750","0","0","0","0","0","23","0","2180","0","1","middle_rectangle","50pct","50pct","1","3","pic3.jpg","50","40","1","6","flower6.jpg","50","58","1","1","left_rectangle","15pct","15pct","1","1","right_rectangle","15pct","85pct","1","6","slow         fast","15","15","1","6","slow         slow","15","85","1","1","Press E","4","15","1","1","Press I","4","85","1"
"060517","04:11:33","735441873","441229036","4.0.10.0","1","6","RMTS_test_1","A_negative_synonyms_right","750","0","0","0","0","0","23","1","6581","0","1","middle_rectangle","50pct","50pct","1","5","pic5.jpg","50","40","1","3","insect3.jpg","50","58","1","1","left_rectangle","15pct","15pct","1","1","right_rectangle","15pct","85pct","1","4","full         empty","15","15","1","4","full         full","15","85","1","1","Press E","4","15","1","1","Press I","4","85","1"
